문항,질문,응답,매핑 라벨,매핑 값,매핑 이유
Q1,어떤 샷을 가장 즐겨 사용하나요?,스매시 (강하게 공격),PlayStyle,공격형,공격형 성향으로 스매시를 선호
Q1,어떤 샷을 가장 즐겨 사용하나요?,드라이브 (빠르게 툭툭 치기),PlayStyle,수비형,속공/빠른 리액션 중심 플레이 성향
Q1,어떤 샷을 가장 즐겨 사용하나요?,리시브 (상대 공격 받아치기),PlayStyle,수비형,상대 공격을 받아치는 방어형 플레이 성향
Q1,어떤 샷을 가장 즐겨 사용하나요?,클리어 (멀리 띄워서 거리 유지),PlayStyle,올라운드형,정확도와 거리 유지 중심의 올라운드 플레이
Q2,경기 중 어떤 위치를 선호하나요?,전위(네트 근처),BalancePref,헤드라이트,민첩한 전위 플레이는 헤드라이트 라켓에 적합
Q2,경기 중 어떤 위치를 선호하나요?,후위(코트 뒤쪽에서 스매시/클리어),BalancePref,헤드헤비,후위 스매시/클리어에 유리한 헤드헤비 밸런스
Q2,경기 중 어떤 위치를 선호하나요?,상황에 따라 자유롭게 움직임,BalancePref,밸런스형,유동적 위치는 균형 잡힌 밸런스에 적합
Q3,복식 시 주로 맡는 역할은?,공격수 (후위 스매시 담당),PlayStyle,공격형,스매시 중심 공격형 역할
Q3,복식 시 주로 맡는 역할은?,"수비수 (전위, 빠른 반응 중심)",PlayStyle,수비형,반응 중심 수비형 플레이
Q3,복식 시 주로 맡는 역할은?,올라운드 (상황에 따라 바뀜),PlayStyle,올라운드형,전/후위 모두 소화하는 올라운드 플레이
Q4,라켓의 어떤 특성을 중요하게 생각하나요?,가볍고 빠르게 움직이는 라켓,WeightPref,5U,가볍고 빠른 전환 중심
Q4,라켓의 어떤 특성을 중요하게 생각하나요?,묵직하고 강하게 때릴 수 있는 라켓,WeightPref,3U,무게감 있는 파워 중심
Q4,라켓의 어떤 특성을 중요하게 생각하나요?,컨트롤이 잘 되는 밸런스 좋은 라켓,WeightPref,4U,균형 중심 올라운드 무게감
Q5,스윙 속도는 어떤 편인가요?,빠른 편이에요 (민첩하게 대응 가능),-,-,무게가 무겁지 않아도 잘 활용 가능
Q5,스윙 속도는 어떤 편인가요?,천천히 정확하게 휘둘러요,-,-,무게감 있는 라켓도 부담되지 않음
Q5,스윙 속도는 어떤 편인가요?,상황에 따라 다르게 움직여요,-,-,유동적 스타일
Q6,손목 힘은 어떤 편인가요?,강한 편이에요 (묵직한 라켓도 문제없음),GripStrength,강함,묵직한 라켓도 소화 가능
Q6,손목 힘은 어떤 편인가요?,중간이에요,GripStrength,보통,중간 무게 선호
Q6,손목 힘은 어떤 편인가요?,약한 편이에요 (무거운 라켓은 부담됨),GripStrength,약함,가벼운 라켓이 필요
Q7,라켓의 반발력(스매시 시 반동)은 어느 정도가 좋으신가요?,강한 반발력 (단단한 샤프트),ShaftFlex,단단함,반동이 적고 단단한 타구력
Q7,라켓의 반발력(스매시 시 반동)은 어느 정도가 좋으신가요?,부드러운 반발력 (유연한 샤프트),ShaftFlex,유연함,부드럽게 감싸는 샷
Q7,라켓의 반발력(스매시 시 반동)은 어느 정도가 좋으신가요?,상관없음,ShaftFlex,중간,중간 샤프트 반응
Q8,라켓 무게는 어떤 쪽이 편하신가요?,3U (무겁지만 파워 있음),WeightPref,3U,파워 위주의 무게 선택
Q8,라켓 무게는 어떤 쪽이 편하신가요?,4U (중간 무게),WeightPref,4U,무게와 조작성의 균형
Q8,라켓 무게는 어떤 쪽이 편하신가요?,5U (가볍고 반응 빠름),WeightPref,5U,가볍고 민첩함 중심
Q9,지금까지 사용해본 라켓 중 가장 마음에 들었던 건 어떤 느낌이었나요?,스매시가 잘 나갔다,PlayStyle,공격형,공격 성향 라켓 선호
Q9,지금까지 사용해본 라켓 중 가장 마음에 들었던 건 어떤 느낌이었나요?,손목이 편했다,WeightPref,5U,손목 부담 적은 라켓 선호
Q9,지금까지 사용해본 라켓 중 가장 마음에 들었던 건 어떤 느낌이었나요?,전체적으로 밸런스가 좋았다,BalancePref,밸런스형,전체적인 조작성 중심
Q10,배드민턴을 얼마나 자주 치시나요?,일주일에 1회 이하,-,-,입문/초급자 가능성 ↑
Q10,배드민턴을 얼마나 자주 치시나요?,주 2~3회,-,-,취미 중급자 기준
Q10,배드민턴을 얼마나 자주 치시나요?,거의 매일,-,-,상급자 또는 클럽 활동 중일 가능성 ↑
Q11,현재 자신이 생각하는 실력은?,입문자,Level,입문,기본기 학습 중
Q11,현재 자신이 생각하는 실력은?,초급 (기본기 있음),Level,초급,기본기 습득 완료
Q11,현재 자신이 생각하는 실력은?,중급 (경기 가능),Level,중급,경기 운영 가능 수준
Q11,현재 자신이 생각하는 실력은?,상급 (클럽/대회 경험 있음),Level,상급,전술 활용 및 경기 경험 풍부
